City,Temperature,Description,Humidity,Pressure,Wind Speed,Wind Direction,Country,Sunrise,Sunset
Aveiro,12,overcast clouds,82,1018,2.71,151,PT,2023-12-06 07:43:42,2023-12-06 17:07:33
Béja,11,light rain,92,1016,1.02,303,TN,2023-12-06 06:21:25,2023-12-06 16:07:11
Braga,11,overcast clouds,67,1018,1.49,115,PT,2023-12-06 07:45:32,2023-12-06 17:03:55
Bragança,31,broken clouds,61,1009,3.51,79,BR,2023-12-06 08:52:49,2023-12-06 21:03:29
Castelo Branco,11,overcast clouds,77,1019,1.23,77,PT,2023-12-06 07:36:40,2023-12-06 17:05:20
Coimbra,11,overcast clouds,81,1018,1.12,126,PT,2023-12-06 07:41:30,2023-12-06 17:07:56
Evora,12,overcast clouds,88,1019,1.36,106,PT,2023-12-06 07:34:45,2023-12-06 17:10:32
Faro,16,overcast clouds,88,1018,2.57,130,PT,2023-12-06 07:30:41,2023-12-06 17:14:51
Guarda,5,overcast clouds,83,1019,1.09,126,PT,2023-12-06 07:37:52,2023-12-06 17:02:21
Leiria,13,clear sky,79,1018,2.06,130,PT,2023-12-06 07:41:43,2023-12-06 17:10:50
Lisbon,13,clear sky,71,1016,4.02,360,PT,2023-12-06 07:40:06,2023-12-06 17:15:03
Portalegre,10,overcast clouds,80,1018,0.88,78,PT,2023-12-06 07:34:55,2023-12-06 17:06:37
Porto,10,clear sky,79,1017,2.24,140,PT,2023-12-06 07:45:05,2023-12-06 17:05:54
Santarém,32,scattered clouds,58,1009,3.6,100,BR,2023-12-06 09:22:17,2023-12-06 21:37:34
Setúbal,13,overcast clouds,72,1018,1.11,319,PT,2023-12-06 07:38:36,2023-12-06 17:14:36
Viana do Castelo,11,overcast clouds,68,1017,4.03,145,PT,2023-12-06 07:47:38,2023-12-06 17:05:07
Vila Real,6,overcast clouds,72,1019,1.15,104,PT,2023-12-06 07:42:04,2023-12-06 17:01:58
Viseu,8,overcast clouds,78,1018,0.78,83,PT,2023-12-06 07:40:48,2023-12-06 17:04:33
São João da Madeira,9,clear sky,76,1017,2.06,170,PT,2023-12-06 07:43:51,2023-12-06 17:06:09
London,3,overcast clouds,88,1018,2.06,110,GB,2023-12-06 07:50:05,2023-12-06 15:53:00
